No;Product Name;SKU;Price (IDR);Rating;Total Reviews;Description;Specifications;Product URL
51;HP OmniBook Ultra Flip 14 inch Laptop 14-fh0888TU, Blue;N/A;27799000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-omnibook-ultra-flip-laptop-14-fh0888tu-b08w7pa.html
52;HP OmniBook Ultra Flip 14 inch Laptop 14-fh0777TU, Grey + HP P24v G5 FHD MNTR INDO;N/A;29279000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-omnibook-ultra-flip-laptop-14-fh0777tu-b08w6pa-1.html
53;HP OmniBook Ultra Flip 14 inch Laptop -fh0556TU, Blue;N/A;31799000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-omnibook-ultra-flip-laptop-14-fh0556tu-b2cq3pa.html
54;HP Pavilion Plus 14 inch Laptop 14-ey0016AU, Silver + HP Smart Tank 585 Wi Fi All-in-One Printer;N/A;13799000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-plus-laptop-14-ey0016au-8r295pa-2.html
55;HP EliteBook 830 13 inch G11 Business Laptop Wolf Pro Security Edition, Silver;N/A;28925000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-elitebook-830-13-inch-g11-notebook-pc-wolf-pro-security-edition-a6rh6pt.html
56;HP Pavilion Plus 14 inch Laptop 14-ey1008AU, Blue;N/A;14299000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-plus-laptop-14-ey1008au-a03grpa.html
57;HP Elite x360 830 13 inch G11 2-in-1 Business Laptop Wolf Pro Security Edition, Silver;N/A;33625000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-elite-x360-830-13-inch-g11-2-in-1-notebook-pc-wolf-pro-security-edition-a6rh5pt.html
58;HP 15.6 inch Laptop 15s-fq5374TU, Blue;N/A;6599000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-15s-fq5374tu-a51kxpa-1.html
59;HP Envy x360 14 inch 2-in-1 Laptop 14-fc0777TU, Silver;N/A;19509000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-envy-x360-2-in-1-laptop-14-fc0777tu-9w3g4pa-1.html
60;HP Pavillion x360 14 inch 2-in-1 Laptop 14-ek2123TU, Silver;N/A;9999000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-x360-2-in-1-laptop-14-ek2123tu-a58h1pa.html
61;HP Envy x360 14 inch 2-in-1 Laptop 14-fc0888TU, Blue;N/A;19509000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-envy-x360-2-in-1-laptop-14-fc0888tu-9w3g5pa-1.html
62;HP Victus 15.6 inch Laptop 15-fb1888AX, Silver;N/A;9999000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-15-fb1888ax-a4tx7pa.html
63;HP Pavilion x360 14 inch 2-in-1 Laptop 14-ek2051TU, Blue;N/A;9999000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-x360-2-in-1-laptop-14-ek2051tu-a58h0pa.html
64;HP Pavilion Plus 14 inch Laptop 14-ew0082TU, Pink;N/A;16499000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-plus-laptop-14-ew0082tu-9e3t3pa.html
65;HP Pavilion Plus 14 inch Laptop 14-ew0081TU, Blue;N/A;16499000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-plus-laptop-14-ew0081tu-9e3t2pa.html
66;HP Pavilion Plus 14 inch Laptop 14-ew0080TU, Silver;N/A;16499000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-plus-laptop-14-ew0080tu-9e3s9pa-1.html
67;HP OmniBook Ultra Flip 14 inch Laptop 14-fh0777TU, Grey;N/A;27799000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-omnibook-ultra-flip-laptop-14-fh0777tu-b08w6pa.html
68;HP 14 inch Laptop 14-ep0018TU, Blue;N/A;11699000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-14-ep0018tu-7m4w3pa.html
69;HP Pavilion Plus 14 inch Laptop 14-ew1006TU, Blue;N/A;16499000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-plus-laptop-14-ew1006tu-9x3d6pa.html
70;HP Pavilion x360 14 inch 2-in-1 Laptop 14-ek2222TU, Gold;N/A;12049000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-x360-2-in-1-laptop-14-ek2222tu-9x3c4pa.html
71;HP Pavilion Plus 14 inch Laptop 14-ew1003TU, Blue;N/A;12999000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-plus-laptop-14-ew1003tu-9x3d3pa.html
72;HP 15.6 inch Laptop 15-fd1222TU, Blue;N/A;9299000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-15-fd1222tu-9y3n9pa.html
73;HP Pavilion Plus 14 inch Laptop 14-ew1002TU, Silver;N/A;12999000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-plus-laptop-14-ew1002tu-9x3d2pa.html
74;HP Pavilion Plus 14 inch Laptop 14-ew1002TU, Silver + HP P24v G5 FHD MNTR INDO;N/A;16779000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-plus-laptop-14-ew1002tu-9x3d2pa-1.html
75;HP Victus 15 inch Gaming Laptop 15-fa2715TX, Silver;N/A;10299000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-15-fa2715tx-b7wa5pa.html
76;HP 14 inch Laptop 14-ep0266TU, Silver;N/A;6949000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-14-ep0266tu-b5uq6pa.html
77;HP 14 inch Laptop 14-ep0269TU, Silver;N/A;6649000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-14-ep0269tu-b5uq9pa.html
78;HP 14 inch Laptop 14-ep0019TU, Silver;N/A;11699000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-14-ep0019tu-7m4w4pa.html
79;HP 15.6 inch Laptop 15-fd1555TU, Blue;N/A;12249000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-15-fd1555tu-9y3p0pa.html
80;HP Victus 15.6 inch Gaming Laptop 15-fa2716TX, Black;N/A;12299000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-15-fa2716tx-b7wa6pa.html
81;HP OMEN MAX 16 Inch Gaming Laptop 16-ah0787TX, Black;N/A;54999000;N/A;N/A;;;https://www.hp.com/id-id/shop/omen-max-gaming-laptop-16-ah0787tx-b88g2pa.html
82;HP OMEN 16 inch Transcend Laptop 16-u1777TX, Black;N/A;41849000;N/A;N/A;;;https://www.hp.com/id-id/shop/omen-transcend-laptop-16-u1777tx-9y8p8pa.html
83;HP 245 14 inch G10 Business Laptop. Silver;N/A;8100000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-245-14-inch-g10-notebook-pc-ar0l9pt.html
84;HP 245 14 inch G10 Notebook PC, Silver;N/A;7200000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-245-14-inch-g10-notebook-pc-ar0l8pt.html
85;HP ProBook 440 14 inch G11 Business Laptop Wolf Pro Security Edition, Silver;N/A;17935000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-probook-440-14-inch-g11-notebook-pc-wolf-pro-security-edition-a6rc8pt.html
86;HP ProBook 440 14 inch G10 Business Laptop Wolf Pro Security Edition, Silver;N/A;15535000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-probook-440-14-inch-g10-notebook-pc-wolf-pro-security-edition-9j091pt.html
87;HP 240 14 inch G9 Business Laptop, Silver;N/A;7500000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-240-14-inch-g9-notebook-pc-a9va2at.html
88;HP EliteBook Ultra 14 inch G1q Notebook AI PC, Blue;N/A;19999000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-elitebook-ultra-14-inch-g1q-notebook-ai-pc-b04xsat.html
89;HP Elite x360 1040 14 inch G11 2-in-1 Laptop PC Wolf Pro Security Edition, Silver;N/A;37225000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-elite-x360-1040-14-inch-g11-2-in-1-notebook-pc-wolf-pro-security-edition-a6rh8pt.html
90;HP 245 14 inch G10 Notebook PC, Silver + POLY BW 3220 USB-C HS USB-C/A;N/A;7275000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-245-14-inch-g10-notebook-pc-ar0l8pt-1.html
91;HP 240 14 inch G9 Business Laptop, Silver + POLY BW 3220 USB-C HS USB-C/A;N/A;7875000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-240-14-inch-g9-notebook-pc-a9va2at-bn.html
92;HP 245 14 inch G10 Business Laptop. Silver + POLY BW 3220 USB-C HS USB-C/A;N/A;9210000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-245-14-inch-g10-notebook-pc-ar0l9pt-1.html
93;HP 240 14 inch G10 Business Laptop, Silver;N/A;12300000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-240-14-inch-g10-notebook-pc-a6rc0pt.html
94;HP 240 14 inch G10 Business Laptop, Silver + POLY BW 3220 USB-C HS USB-C/A;N/A;12375000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-240-14-inch-g10-notebook-pc-a6rc0pt-1.html
